
Total mac address : 1520

Mac address      Vlan  Type      Port	                  Vc                      
E4:82:10:DF:43:A7   100   Dynamic   gpon-onu_1/3/4:8         vport 1  
7C:39:85:13:EF:69   100   Dynamic   gpon-onu_1/3/4:9         vport 1  
48:BD:4A:58:C9:37   100   Dynamic   gpon-onu_1/3/4:10        vport 1  
E0:19:54:FE:CC:A9   100   Dynamic   gpon-onu_1/3/4:11        vport 1  
5C:3A:3D:E6:C5:9A   100   Dynamic   gpon-onu_1/3/4:12        vport 1  
9A:8C:1A:01:4B:65   100   Dynamic   gpon-onu_1/3/4:13        vport 1  
5C:3A:3D:F7:3A:9A   100   Dynamic   gpon-onu_1/3/4:14        vport 1  
5C:3A:3D:F3:7E:48   100   Dynamic   gpon-onu_1/3/4:15        vport 1  
5C:3A:3D:FF:DF:92   100   Dynamic   gpon-onu_1/3/4:16        vport 1  
98:00:6A:88:1C:F0   100   Dynamic   gpon-onu_1/3/4:17        vport 1  
98:00:6A:85:CA:4E   100   Dynamic   gpon-onu_1/3/4:18        vport 1  
34:36:54:A3:B3:A0   100   Dynamic   gpon-onu_1/3/4:19        vport 1  
EC:82:63:7C:3C:67   100   Dynamic   gpon-onu_1/3/4:19        vport 1  
34:24:3E:26:1A:A6   100   Dynamic   gpon-onu_1/3/4:20        vport 1  
94:FF:61:0F:25:9A   100   Dynamic   gpon-onu_1/3/4:21        vport 1  
B4:E4:6B:6C:3B:60   100   Dynamic   gpon-onu_1/3/4:22        vport 1  
94:FF:61:64:0A:6F   100   Dynamic   gpon-onu_1/3/4:23        vport 1  
B4:E4:6B:79:B0:4E   100   Dynamic   gpon-onu_1/3/4:24        vport 1  
B4:E4:6B:81:38:4E   100   Dynamic   gpon-onu_1/3/4:25        vport 1  
B4:E4:6B:85:39:7D   100   Dynamic   gpon-onu_1/3/4:26        vport 1  
10:8F:FE:62:5D:9B   100   Dynamic   gpon-onu_1/3/4:27        vport 1  
B4:E4:6B:86:6F:78   100   Dynamic   gpon-onu_1/3/4:28        vport 1  
9A:8C:1A:2E:1D:A6   100   Dynamic   gpon-onu_1/3/4:30        vport 1  
A8:74:84:C3:F9:9C   100   Dynamic   gpon-onu_1/3/4:31        vport 1  
9A:8C:1A:B2:74:96   100   Dynamic   gpon-onu_1/3/4:32        vport 1  
F8:64:B8:F0:5B:C2   100   Dynamic   gpon-onu_1/3/4:33        vport 1  
5C:3A:3D:F1:82:0A   100   Dynamic   gpon-onu_1/3/4:34        vport 1  
A8:74:84:C9:65:72   100   Dynamic   gpon-onu_1/3/4:35        vport 1  
98:00:6A:86:A3:92   100   Dynamic   gpon-onu_1/3/4:36        vport 1  
